hub,category,sku,shipped_qty,avg_shipped_qty,current_stock,stock_month,stock_turn,sd_shipped_qty,mode,leg_days,wh_days,leadtime_days,handling_cost,leadtime_days_sd,service_level,holding_cost_per_unit_year,lat,lng,color,safety_stock,eoq,rop,days_to_rop,recommended_mode,rop_date,actual_eoq,expected_pull_next_90d,console_support
SHENTON,B,SKU_AK,209740,9500.0,9500,0.271765042,44.15578947,950.0,Ocean,45,10,55,20000,5.5,0.9,12,40.758701,-111.876183,0,2742,19494,19909,0.0,Air,2/1/2023,38988.0,298894.0,False
SHENTON,B,SKU_AK,209740,9500.0,9500,0.271765042,44.15578947,950.0,Air,13,3,16,40000,1.6,0.9,12,40.758701,-111.876183,0,1090,27568,6084,10.94450442,Air,12/1/2023,27568.0,138549.0,False
SHENTON,B,SKU_BX,96411,4494.0,4494,0.27967763,42.90654206,449.4,Ocean,45,10,55,20000,5.5,0.9,12,40.758701,-111.876183,0,1297,13407,9418,0.0,Air,2/1/2023,13407.0,13407.0,False
SHENTON,B,SKU_BX,96411,4494.0,4494,0.27967763,42.90654206,449.4,Air,13,3,16,40000,1.6,0.9,12,40.758701,-111.876183,0,516,18961,2878,10.94485803,Air,12/1/2023,18961.0,18961.0,False
SHENTON,B,SKU_AO,130000,0.0,0,0.0,0.0,0.0,Ocean,45,10,55,20000,5.5,0.9,12,40.758701,-111.876183,0,0,0,0,0.0,Air,2/1/2023,,129801.0,False
SHENTON,B,SKU_AO,130000,0.0,0,0.0,0.0,0.0,Air,13,3,16,40000,1.6,0.9,12,40.758701,-111.876183,0,0,0,0,0.0,Air,2/1/2023,,60332.0,False
SHENTON,B,SKU_BY,138348,40752.0,40752,1.767369243,6.78975265,4075.2,Ocean,45,10,55,20000,5.5,0.9,12,40.758701,-111.876183,0,11762,40374,85401,0.0,Air,2/1/2023,121122.0,121122.0,False
SHENTON,B,SKU_BY,138348,40752.0,40752,1.767369243,6.78975265,4075.2,Air,13,3,16,40000,1.6,0.9,12,40.758701,-111.876183,0,4677,57098,26099,10.94408522,Air,12/1/2023,57098.0,57098.0,False
SHENTON,B,SKU_AI,120800,1300.0,1300,0.064569536,185.8461538,130.0,Ocean,45,10,55,20000,5.5,0.9,12,40.758701,-111.876183,0,375,7211,2724,0.0,Air,2/1/2023,7211.0,171238.0,False
SHENTON,B,SKU_AI,120800,1300.0,1300,0.064569536,185.8461538,130.0,Air,13,3,16,40000,1.6,0.9,12,40.758701,-111.876183,0,149,10198,832,10.95732,Air,12/1/2023,10198.0,63179.0,False
SHENTON,B,SKU_BZ,104628,15789.0,15789,0.905436403,13.2532776,1578.9,Ocean,45,10,55,20000,5.5,0.9,12,40.758701,-111.876183,0,4557,25131,33088,0.0,Air,2/1/2023,50262.0,50262.0,False
SHENTON,B,SKU_BZ,104628,15789.0,15789,0.905436403,13.2532776,1578.9,Air,13,3,16,40000,1.6,0.9,12,40.758701,-111.876183,0,1812,35540,10112,10.94374875,Air,12/1/2023,35540.0,35540.0,False
SHENTON,B,SKU_AW,192334,111828.0,111828,3.488556365,3.439818292,11182.8,Ocean,45,10,55,20000,5.5,0.9,12,40.758701,-111.876183,0,32277,66881,234351,0.0,Air,2/1/2023,267524.0,267524.0,False
SHENTON,B,SKU_AW,192334,111828.0,111828,3.488556365,3.439818292,11182.8,Air,13,3,16,40000,1.6,0.9,12,40.758701,-111.876183,0,12834,94585,71619,10.94396156,Air,12/1/2023,94585.0,94585.0,True
SHENTON,B,SKU_CA,160200,48700.0,48700,1.823970037,6.579055441,4870.0,Ocean,45,10,55,20000,5.5,0.9,12,40.758701,-111.876183,0,14056,44136,102057,0.0,Air,2/1/2023,132408.0,132408.0,False
SHENTON,B,SKU_CA,160200,48700.0,48700,1.823970037,6.579055441,4870.0,Air,13,3,16,40000,1.6,0.9,12,40.758701,-111.876183,0,5589,62418,31189,10.94419522,Air,12/1/2023,62418.0,62418.0,False
SHENTON,B,SKU_AA,149075,140943.0,140943,5.67270166,2.115394166,14094.3,Ocean,45,10,55,20000,5.5,0.9,12,40.758701,-111.876183,0,40680,75085,295366,0.0,Air,2/1/2023,300340.0,300340.0,False
SHENTON,B,SKU_AA,149075,140943.0,140943,5.67270166,2.115394166,14094.3,Air,13,3,16,40000,1.6,0.9,12,40.758701,-111.876183,0,16176,106186,90266,10.94382728,Air,12/1/2023,106186.0,106186.0,True
SHENTON,B,SKU_CB,93478,45836.0,45836,2.942039838,4.078802688,4583.6,Ocean,45,10,55,20000,5.5,0.9,12,40.758701,-111.876183,0,13230,42819,96056,0.0,Air,2/1/2023,128457.0,128457.0,False
SHENTON,B,SKU_CB,93478,45836.0,45836,2.942039838,4.078802688,4583.6,Air,13,3,16,40000,1.6,0.9,12,40.758701,-111.876183,0,5261,60555,29356,10.94340169,Air,12/1/2023,60555.0,60555.0,False
CONSOLE,B,SKU_AA,532618,88769.66667,140786,1.585969682,7.566348927,4580.233333,Air,6,1,7,12000,0.7,0.9,12,1.3521,102.1,-165,3843,46157,24259,39.9543271,Ocean,10/2/2023,46157.0,106186.0,True
CONSOLE,B,SKU_AA,532618,88769.66667,140786,1.585969682,7.566348927,4580.233333,Ocean,15,1,16,3000,1.6,0.9,12,1.3521,102.1,-165,7340,23079,54004,29.75547654,Ocean,31/1/2023,69237.0,300340.0,False
CONSOLE,B,SKU_AA,532618,88769.66667,140786,1.585969682,7.566348927,4580.233333,Land,4,1,5,6000,0.5,0.9,12,1.3521,102.1,-165,3025,32638,17608,42.23479626,Ocean,13/2/2023,32638.0,,
CONSOLE,B,SKU_AB,324806,54134.33333,16031,0.296133692,40.52223816,3793.75,Air,6,1,7,12000,0.7,0.9,12,1.3521,102.1,-165,2825,36045,15275,0.425060596,Land,2/1/2023,36045.0,31174.0,False
CONSOLE,B,SKU_AB,324806,54134.33333,16031,0.296133692,40.52223816,3793.75,Ocean,15,1,16,3000,1.6,0.9,12,1.3521,102.1,-165,5072,18022,33529,0.0,Land,2/1/2023,36044.0,153460.0,False
CONSOLE,B,SKU_AB,324806,54134.33333,16031,0.296133692,40.52223816,3793.75,Land,4,1,5,6000,0.5,0.9,12,1.3521,102.1,-165,2276,25487,11169,2.733656903,Land,4/1/2023,25487.0,,
CONSOLE,B,SKU_AC,184348,30724.66667,59666,1.941957602,6.179331613,3072.466667,Air,6,1,7,12000,0.7,0.9,12,1.3521,102.1,-165,2094,27155,9160,50.03312611,Ocean,21/2/2023,27155.0,,
CONSOLE,B,SKU_AC,184348,30724.66667,59666,1.941957602,6.179331613,3072.466667,Ocean,15,1,16,3000,1.6,0.9,12,1.3521,102.1,-165,3526,13577,19677,39.61459391,Ocean,10/2/2023,27154.0,99774.0,False
CONSOLE,B,SKU_AC,184348,30724.66667,59666,1.941957602,6.179331613,3072.466667,Land,4,1,5,6000,0.5,0.9,12,1.3521,102.1,-165,1722,19201,6769,52.40173983,Ocean,23/2/2023,19201.0,,
CONSOLE,B,SKU_AD,213592,35598.66667,17645,0.495664632,24.20991782,3559.866667,Air,6,1,7,12000,0.7,0.9,12,1.3521,102.1,-165,2426,29230,10613,6.012387655,Land,8/1/2023,29230.0,49919.0,False
CONSOLE,B,SKU_AD,213592,35598.66667,17645,0.495664632,24.20991782,3559.866667,Ocean,15,1,16,3000,1.6,0.9,12,1.3521,102.1,-165,4086,14615,22799,0.0,Land,2/1/2023,29230.0,107397.0,False
CONSOLE,B,SKU_AD,213592,35598.66667,17645,0.495664632,24.20991782,3559.866667,Land,4,1,5,6000,0.5,0.9,12,1.3521,102.1,-165,1995,20668,7843,8.380748549,Land,10/1/2023,20668.0,,
CONSOLE,B,SKU_AE,596240,99373.33333,40538,0.407936401,29.41635009,9937.333333,Air,6,1,7,12000,0.7,0.9,12,1.3521,102.1,-165,6773,48836,29627,3.341923792,Land,5/1/2023,48836.0,,
CONSOLE,B,SKU_AE,596240,99373.33333,40538,0.407936401,29.41635009,9937.333333,Ocean,15,1,16,3000,1.6,0.9,12,1.3521,102.1,-165,11405,24418,63643,0.0,Land,2/1/2023,73254.0,,
CONSOLE,B,SKU_AE,596240,99373.33333,40538,0.407936401,29.41635009,9937.333333,Land,4,1,5,6000,0.5,0.9,12,1.3521,102.1,-165,5570,34532,21894,5.710459828,Land,7/1/2023,34532.0,,
CONSOLE,B,SKU_AF,213620,35603.33333,1400,0.039322161,305.1714286,3560.333333,Air,6,1,7,12000,0.7,0.9,12,1.3521,102.1,-165,2427,29231,10615,0.0,Land,2/1/2023,29231.0,49922.0,False
